,,,,,,,,,,,,,,,PERN,R NORTE,R SUL,R AFRCA,AL SOLO,A SOLO V,B. P. INT,P. MNT
,Aeronave,OM,    Data,Piloto,Missão,Tempo de Voo,Obs,Pousos,Etapas,Quadrinhos,ANV,#VALUE!,,,,,,,,,,
,VC2,13,15/01/2026,ALX,VER,00:45,,1,1,,2591,,,,,,,,,,,
,VC2,13,15/01/2026,FES,VER,00:45,,0,1,,2591,,,,,,,,,,,
,VC1,12,15/01/2026,VRS,VER,00:55,,1,1,,2101,,,,,,,,,,,
,VC1,12,15/01/2026,VTO,VER,00:55,,0,1,,2101,,,,,,,,,,,
,VC2,14,16/01/2026,FRF,DISP PR,01:20,,1,1,,2591,,,,,,,,,,,
,VC2,14,16/01/2026,SMR,DISP PR,02:05,SBRJ,1,2,,2591,,,,,,,,,,,
,VC2,14,16/01/2026,SZA,DISP PR,02:45,,1,2,,2591,,,,,,,,,,,
,VC2,14,16/01/2026,TOD,DISP PR,00:40,,0,1,,2591,,,,,,,,,,,
,VC1,15,16/01/2026,VRS,PR,01:40,,0,2,,2101,,,,,,,,,,,
,VC1,15,16/01/2026,BRT,PR,02:40,,2,2,,2101,,,,,,,,,,,
,VC1,15,16/01/2026,MAC,PR,01:40,SBRJ,1,2,,2101,,,,,,,,,,,
,VC2,17,17/01/2026,IGO,DISP PR,03:25,B. P. INT,1,2,1,2591,,,,,,,,,,,
,VC2,17,17/01/2026,LTT,DISP PR,03:25,B. P. INT,1,2,1,2591,,,,,,,,,,,
,VC2,17,17/01/2026,DSA,DISP PR,03:15,B. P. INT,1,2,1,2591,,,,,,,,,,,
,VC2,17,17/01/2026,CIR,DISP PR,03:15,B. P. INT,1,2,1,2591,,,,,,,,,,,
,VC2,18,18/01/2026,ALX,ESCAV,04:50,,1,2,,2591,,,,,,,,,,,
,VC2,18,18/01/2026,CAS,ESCAV,04:50,,1,2,,2591,,,,,,,,,,,
,VC2,20,19/01/2026,FES,VER,00:50,,0,1,,2591,,,,,,,,,,,
,VC2,20,19/01/2026,DAN,VER,00:50,,1,1,,2591,,,,,,,,,,,
,VC1,16,20/01/2026,LIN,MNT,02:10,P. MNT,0,2,4,2101,,,,,,,,,,,
,VC1,16,20/01/2026,PCI,MNT,02:10,P. MNT,2,2,4,2101,,,,,,,,,,,
,VC2,21,20/01/2026,DSA,PR,02:35,,1,1,,2591,,,,,,,,,,,
,VC2,21,20/01/2026,ALX,PR,02:25,,0,1,,2591,,,,,,,,,,,
,VC2,21,20/01/2026,TOD,PR,05:00,,1,2,,2591,,,,,,,,,,,
,VC2,22,21/01/2026,CIR,ESCAV,03:05,,1,2,,2591,,,,,,,,,,,
,VC2,22,21/01/2026,LTT,ESCAV,03:05,,1,2,,2591,,,,,,,,,,,
,VC2,23,21/01/2026,SZA,ESCAV,04:05,,1,2,,2591,,,,,,,,,,,
,VC2,23,21/01/2026,CPO,ESCAV,04:05,,1,2,,2591,,,,,,,,,,,
,VC1,24,22/01/2026,OSV,VER,00:50,,1,1,,2101,,,,,,,,,,,
,VC1,24,22/01/2026,ATD,VER,00:50,,0,1,,2101,,,,,,,,,,,
,VC1,25,23/01/2026,OSV,PR,02:30,,1,2,,2101,,,,,,,,,,,
,VC1,25,23/01/2026,LIN,PR,02:55,,1,2,,2101,,,,,,,,,,,
,VC1,25,23/01/2026,VTO,PR,03:35,,1,2,,2101,,,,,,,,,,,
,VC2,26,23/01/2026,DSA,ESCAV,07:40,B. P. INT,1,3,1,2591,,,,,,,,,,,
,VC2,26,23/01/2026,SZA,ESCAV,07:40,B. P. INT,1,3,1,2591,,,,,,,,,,,
,VC2,26,23/01/2026,SAM,ESCAV,07:20,B. P. INT,0,2,1,2591,,,,,,,,,,,
,VC1,26,23/01/2026,BRT,REC,00:00,B. P. INT (REC),0,0,1,2591,,,,,,,,,,,
,VC2,27,26/01/2026,SMR,INST,04:40,SBRJ,2,6,,2591,,,,,,,,,,,
,VC2,27,26/01/2026,TOD,INST,04:40,SBRJ,4,6,,2591,,,,,,,,,,,
,VC1,28,27/01/2026,MAC,VER,01:00,,0,1,,2101,,,,,,,,,,,
,VC1,28,27/01/2026,GZA,VER,01:00,,1,1,,2101,,,,,,,,,,,
,VC2,29,27/01/2026,SAM,VER,00:45,,1,1,,2591,,,,,,,,,,,
,VC2,29,27/01/2026,FRF,VER,00:45,,0,1,,2591,,,,,,,,,,,
,VC2,33,28/01/2026,SZA,MNT,03:20,P. MNT,2,2,2,2590,,,,,,,,,,,
,VC2,33,28/01/2026,FES,MNT,03:20,P. MNT,0,2,7,2590,,,,,,,,,,,
,VC1,30,29/01/2026,VRS,PR,07:30,R SUL,0,2,3,2101,,,,,,,,,,,
